gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,annotated cluster,cell type,meta cell type identity,
1100001G20Rik,0,1.77348867897279,0.54,0.106,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Chi3l3,0,1.7694223101786,0.903,0.304,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Car4,0,1.52878285200997,0.266,0.048,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
F7,0,1.38065642493779,0.423,0.124,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ctsk,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000172479107293179,1.36501204820246,0.284,0.069,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000403601111066039,0,AM (Bleo),Alveolar macrophages,Macrophages,
Ear2,0,1.35681028507491,0.487,0.131,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Atp6v0d2,0,1.35038183136975,0.49,0.14,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
Il18,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000106203918588602,1.30144856589878,0.259,0.057,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000248517169497329,0,AM (Bleo),Alveolar macrophages,Macrophages,
1600029D21Rik,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000211950497280053,1.21237002818146,0.271,0.07,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000495964163635325,0,AM (Bleo),Alveolar macrophages,Macrophages,
1810033B17Rik,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000476216650464848,1.18456167824759,0.261,0.073,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111434696208774,0,AM (Bleo),Alveolar macrophages,Macrophages,
Clec4n,0,1.17427931145038,0.437,0.155,0,0,AM (Bleo),Alveolar macrophages,Macrophages,
