AT1	DATP	Primed AT2	Cycling AT2	AT2
Aqp5	Mif	Cideb	Serpinf1	Fabp5
Clic5	Mdm2	Gstt2	Спр	Hmgcr
Sdpr	Pold4	Nr4a3	Lrrc26	Ldlr
Gprc5a	Cend1	Tmem173	Tgfb1	Mvk
S100a14	Mboat1	Orm1	E2f1	Hmgcs1
Tacstd2	Gdf15	Ifitm2	Birc5	Acly
Krt19	AW112010	Cbr4	Stmn1	Eya1
Ptpn14	Тгр53	Ifitm3	Тор2а	Tspan12
Aqp5	Hif1a		Ccnb2	Snx25
Crip2	Bax		Birc5	Acacb
Cd81	Ifngr1		Ezh2	Bex2
Pkm	Cxx1b		Lockd	Nin1
Crip3	Ly6a		Cenpa	Fabp12
Icam1	Sca-1		Cdc20	Cst8
Emp2	Lrr26			Acoxl
Sparc	Irf7			Sftbp
Igfbp7	Cdkn2a			Sftpa1
Gprc5a	Cxcl16			Cxcl15
Cryab 	Cdkn1a			SIc34a2
Ahnak	Timp1			Elovl1
Timp3				Lamp3
Krt7				Scp2
S100a6				Tmem243
Kr19				Rnase4
Hs2st1				Sfta2
Anxa5				S100g
Ndnf				Fasn
Clic3				Id2
Tspan8				Cebpa
Pdpn				Acly
Hopx				Ppp1r14c
Lmo8				Glrx
Itgb7				Soat1
Qk				Car8
SIc44a2				Cpm
ler3				Abhd2
Hbegf				Ang
Vegfa				Mien1
Fbin5				Acsl4
Myo1b				Cd200
Pmp22				Fkbp4
Col4a3				GIrx
Col4a4				Cited2
Gsn				Fgfr2
Ehd2				Cd36
Rtkn2				Hc
SIco3a1				Abca3
Limch1				Mid1ip1
Igfbp2				Zfos1
Sdpr				Ldhb
Cav1				Smim6
Spock2				Ddt
Cdk2				Lpcat1
Mki67				Cbr2
Akap6				Etvs
Asah1				AcoxI
				Bex2
				Bex4
				Cidn18
				Ager
