basal,scBasal,classical,scClassical,EMT
SERPINB4,KRT6A,KRT20,LGALS4,FERMT2
KRT7,S100A2,CYP3A7,CTSE,GLIPR1
UCA1,KRT13,CEACAM6,TFF1,COL8A2
DHRS9,KRT17,CLRN3,AGR2,MMP1
SERPINB3,LY6D,MYO1A,TSPAN8,SLC6A8
FGFBP1,KRT7,CDH17,CEACAM6,TNC
VGLL1,KRT5,SPINK4,LYZ,ITGA5
SLC2A1,FAM83A,LYZ,CDH17,GADD45A
KRT17,CD109,AGR3,TFF2,SERPINH1
KRT6C,GAPDH,FAM3D,CLDN18,FAP
KRT6A,CSTA,AGR2,REG4,WNT5A
SPRRR3,PTPN13,TFF3,SPINK1,COMP
SPRR1B,MTSS1,BTNL8,SLC44A4,ITGB1
LEMD1,SPRR1B,CTSE,GPX2,DPYSL3
KRT15,SLC2A1,TSPAN8,ANXA10,ITGB3
CTSL2,CAV1,PLA2G10,FAM3D,FBN2
TNS4,EMP1,REG4,TFF3,LOX
SCEL,SEMA3C,LGALS4,MUC13,COL1A1
LY6D,DHRS9,ANXA10,ANXA13,CRLF1
GPR87,CAST,VSIG2,CEACAM5,ITGB5
CST6,FLNA,ST6GALNAC1,VSIG2,PDGFRB
S100A2,SLITRK6,TFF2,PRSS3,MYL9
FAM83A,COL7A1,TFF1,ALDH2,ITGAV
AREG,AQP3,,IL1R2,NT5E
ANXA8L2,MT2A,,AGR3,FBLN2
,AHNAK2,,CYSTM1,GJA1
,KRT19,,CAPN5,DAB2
,PKP1,,S100A6,CXCL12
,YBX3,,ONECUT2,COLGALT1
,GJB5,,BCAS1,FBLN1
,FRMD6,,TSPAN3,PPIB
,KRT15,,SLC40A1,SCG2
,F3,,HSD17B2,SFRP1
,GPR87,,HEPH,IL15
,SCEL,,TMEM45B,ADAM12
,PVRL1,,ANXA4,MMP14
,ANXA1,,TESC,ITGA2
,CST6,,VSIG1,TPM4
,CAP1,,IQGAP2,MXRA5
,DDIT4,,GCNT3,MGP
,CD44,,HPGD,SLIT3
,LDHB,,CAPN8,FOXC2
,ANXA2,,S100P,SNTB1
,ITGA3,,ERN2,VEGFC
,HSP90AA1,,SULT1B1,FUCA1
,TP63,,CES2,FAS
,PTRF,,CA2,HTRA1
,TNS4,,PLS1,SPP1
,PPL,,MUC5AC,DKK1
,TPI1,,CYP3A5,TPM2
,EGFR,,CDHR2,PLAUR
,PITX1,,PARM1,IL6
,H19,,ST6GALNAC1,COL4A2
,COL6A1,,SELENBP1,P3H1
,THBS1,,AKR1B10,CAPG
,ACTG1,,MYO1A,MMP3
