AT2-like,AT1-like,HPSC,Endoderm-like,Ribosomal,EMT,Adv
Ifi27l2a,Map6,Slc4a11,Neil3,AC156273.3,Stmn2,Azgp1
Gm13449,Gm43431,Il23a,Prtg,Gm6977,Klhl1,Lrrc52
Tgtp1,Gm29237,Rrad,Upk1b,Gm13226,Rgs17,Osr2
AC133650.1,Akap5,Tnf,Knl1,Tpt1-ps5,Ifi211,Gm2617
Ly6i,Hck,Abtb2,Cyp1b1,AC158620.2,Bmp7,Lrmp
Prmt8,Mrc2,Lif,Hcrtr1,Gm7434,Fam19a5,Tmprss6
Tmprss7,Hopx,Tnfrsf11b,Aurkb,Rps8-ps1,Zeb2,BC018473
Vldlr,Mmp11,Tigit,Cldn1,Rps15a-ps3,Dlx2,Paqr6
Lsmem1,Scnn1g,Dusp10,Gkn1,Gm26377,Qrfp,Krt87
Npr2,Cdkl5,Ntm,Hist2h3b,AC163038.3,Plxdc2,Cyp21a1
Fosb,Rtkn2,Trim15,Adamts6,Gm8624,Ncam1,Ass1
AC157822.3,Sema3a,Tm4sf1,Tfap2b,Mir703,Stac,Aph1c
Gem,Radil,Chac1,Pbk,Gm10320,Prl2c3,Krt83
Snx25,Wfdc1,Creb5,Arg1,Gm37108,Flt4,Six4
H2-Q4,Sec14l3,5031415H12Rik,Pnp2,Gm14323,Sdc3,Mc5r
Adcy7,Nrp2,Cxcl1,Nusap1,Gm11539,Ifi205,Mycl
H2-Q5,Slco3a1,Mcpt8,Rasd2,Gm29257,Ifi204,Slc38a4
AC135641.1,Col4a3,Trp53inp1,Drd4,CT025555.1,3110039M20Rik,Ly6k
H2-Q6,Scnn1b,Abcg1,Pclaf,Gm5075,Pilra,Slc39a2
Acaca,Arhgef26,Mapk11,Smim24,Gm11263,Clip3,Xxylt1
Dnajb13,Col4a4,Klhl2,Fxyd2,Gm6520,Scrn1,Zfp872
Rn7s2,Tram2,Il24,Ska1,Rps4x-ps,Cd109,Gm5424
Cebpd,Fam189a2,Zfand2a,Adh1,Gm7290,Dkk3,Rims1
Secisbp2l,Kcnk2,Tspan5,Gm42788,CT009486.1,Foxg1,Ace
Stat5a,Gm37087,Ddit3,Eme1,AC126687.1,Sox11,AC118222.2
Kcnj2,Slc6a14,Ascc3,Gdpd2,Gadl1,Uchl1,Ldhd
Nr4a1,Ndst1,Sgms2,Rnf222,Gm15013,Gm26716,Pla2g4f
Ccz1,Mettl7a2,Grpel2,Oip5,Rpsa-ps11,Dynap,Gm3604
Gm12216,Nebl,Gdf15,Scara5,Fam221b,Csn3,Ciart
Scd2,Fgfr3,Dennd2c,Gm2694,Gm12816,Edil3,3222401L13Rik
Nr4a3,Cryab,Ly6a,Esco2,Rpl21-ps10,Rgs20,Ttc36
Gm44250,Hs2st1,Slc9a4,Mir99ahg,Rps15-ps2,Col5a1,Rasl12
Gm16486,Qk,Asns,D930028M14Rik,Rps6-ps1,Ndst3,Olfr721-ps1
